            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2462812.500000000, A.D. 2030-Nov-07 00:00:00.0000, -1.321190828204787E+00,  1.007776013157133E+00,  5.352645361725483E-02, -7.963724677153609E-03, -9.932691182119955E-03, -1.301584244050031E-05,  9.602001633589178E-03,  1.662535045785254E+00,  3.073471394027632E-04,
2462813.500000000, A.D. 2030-Nov-08 00:00:00.0000, -1.329111859989963E+00,  9.978109463926124E-01,  5.351171271065822E-02, -7.878261503247259E-03, -9.997329330579783E-03, -1.646550555151739E-05,  9.603748416731419E-03,  1.662837491910778E+00,  2.975426428186969E-04,
2462814.500000000, A.D. 2030-Nov-09 00:00:00.0000, -1.336947197226044E+00,  9.877815810114328E-01,  5.349352359080436E-02, -7.792336316728928E-03, -1.006128800679357E-02, -1.991224897702748E-05,  9.605438532037734E-03,  1.663130126304668E+00,  2.877237566698280E-04,
2462815.500000000, A.D. 2030-Nov-10 00:00:00.0000, -1.344696380158871E+00,  9.776885976232892E-01,  5.347188925324305E-02, -7.705953648965245E-03, -1.012456493285364E-02, -2.335591279324994E-05,  9.607071897713418E-03,  1.663412934804607E+00,  2.778909507277624E-04,
2462816.500000000, A.D. 2030-Nov-11 00:00:00.0000, -1.352358953558430E+00,  9.675326791218062E-01,  5.344681285203144E-02, -7.619118020748430E-03, -1.018715784099596E-02, -2.679633999303829E-05,  9.608648434698042E-03,  1.663685903721707E+00,  2.680446922557185E-04,
2462817.500000000, A.D. 2030-Nov-12 00:00:00.0000, -1.359934466713612E+00,  9.573145106694273E-01,  5.341829769917587E-02, -7.531833940465745E-03, -1.024906446858112E-02, -3.023337688758644E-05,  9.610168066656403E-03,  1.663949019838937E+00,  2.581854467862087E-04,
2462818.500000000, A.D. 2030-Nov-13 00:00:00.0000, -1.367422473428114E+00,  9.470347796835789E-01,  5.338634726455609E-02, -7.444105908914778E-03, -1.031028255926381E-02, -3.366687078778713E-05,  9.611630719977293E-03,  1.664202270410913E+00,  2.483136806946015E-04,
2462819.500000000, A.D. 2030-Nov-14 00:00:00.0000, -1.374822532016408E+00,  9.366941758241702E-01,  5.335096517584016E-02, -7.355938430760436E-03, -1.037080986785191E-02, -3.709666503885945E-05,  9.613036323774990E-03,  1.664445643164150E+00,  2.384298674356768E-04,
2462820.500000000, A.D. 2030-Nov-15 00:00:00.0000, -1.382134205299179E+00,  9.262933909808838E-01,  5.331215521804038E-02, -7.267336019535801E-03, -1.043064416643818E-02, -4.052259745388310E-05,  9.614384809885213E-03,  1.664679126296371E+00,  2.285344880843943E-04,
2462821.500000000, A.D. 2030-Nov-16 00:00:00.0000, -1.389357060598855E+00,  9.158331192592375E-01,  5.326992133291779E-02, -7.178303188654497E-03, -1.048978324680792E-02, -4.394450507201682E-05,  9.615676112855458E-03,  1.664902708474825E+00,  2.186280224171501E-04,
2462822.500000000, A.D. 2030-Nov-17 00:00:00.0000, -1.396490669736034E+00,  9.053140569665019E-01,  5.322426761863878E-02, -7.088844439934723E-03, -1.054822491877362E-02, -4.736222955383124E-05,  9.616910169937360E-03,  1.665116378834971E+00,  2.087109399712215E-04,
2462823.500000000, A.D. 2030-Nov-18 00:00:00.0000, -1.403534609026518E+00,  8.947369025990841E-01,  5.317519832965108E-02, -6.998964261754524E-03, -1.060596700796156E-02, -5.077561790589027E-05,  9.618086921084909E-03,  1.665320126980162E+00,  1.987836993169851E-04,
2462824.500000000, A.D. 2030-Nov-19 00:00:00.0000, -1.410488459277892E+00,  8.841023568313167E-01,  5.312271787631991E-02, -6.908667134785898E-03, -1.066300735098348E-02, -5.418451957388374E-05,  9.619206308952861E-03,  1.665513942981379E+00,  1.888467551248562E-04,
2462825.500000000, A.D. 2030-Nov-20 00:00:00.0000, -1.417351805785578E+00,  8.734111225042487E-01,  5.306683082421618E-02, -6.817957538132380E-03, -1.071934378702247E-02, -5.758878311056062E-05,  9.620268278890244E-03,  1.665697817376098E+00,  1.789005674317341E-04,
